i,yhat,loop,loop_time
1,1.2252876121721727,1,12610.866685628891
272,1.0782568535657768,1,12610.866685628891
543,1.1647408519585811,1,12610.866685628891
814,1.513534305786877,1,12610.866685628891
1085,2.6274515076305556,1,12610.866685628891
2,0.5300767934504355,2,12604.363535642624
273,0.6668112415293186,2,12604.363535642624
544,0.5982944069624015,2,12604.363535642624
815,0.6650002863028229,2,12604.363535642624
1086,1.0438431569987732,2,12604.363535642624
3,0.8623685546441936,3,12572.278758764267
274,0.7423553514591376,3,12572.278758764267
545,0.9480128554425641,3,12572.278758764267
816,1.0846813896086709,3,12572.278758764267
1087,1.2488228156372876,3,12572.278758764267
4,0.024222277179479664,4,12557.052453517914
275,0.011146979489248872,4,12557.052453517914
546,0.04119547739428893,4,12557.052453517914
817,0.015420624368066968,4,12557.052453517914
1088,0.037234560631936774,4,12557.052453517914
5,3.8306517842311463,5,12571.520095348358
276,1.7970400479398827,5,12571.520095348358
547,1.6121420841190992,5,12571.520095348358
818,1.3773901801470925,5,12571.520095348358
1089,3.0311867529013887,5,12571.520095348358
6,0.24415519362885052,6,12567.960667610168
277,0.1750047098928481,6,12567.960667610168
548,0.1536958703485457,6,12567.960667610168
819,0.17741284571102106,6,12567.960667610168
1090,0.231399751473344,6,12567.960667610168
7,4.380031070661483e-07,7,12678.732995986938
278,2.7824539032387873e-09,7,12678.732995986938
549,1.460321066736635e-09,7,12678.732995986938
820,4.581509165509176e-09,7,12678.732995986938
1091,9.701069529626016e-08,7,12678.732995986938
