data_scale,i,yhat,loop,loop_time
0.1,1,8.520746242140154,1,0.02194380760192871
0.1,2,2.6286786828303432,2,0.0009713172912597656
0.1,3,32.23784452573456,3,0.0
0.1,4,-0.07902587112773718,4,0.0
0.1,5,-9.38278531759508,5,0.0009965896606445312
0.1,6,-10.992066760830614,6,0.0
0.1,7,6.966519562244779,7,0.0
0.1,8,-0.6924973841643038,8,0.0
0.2,1,-0.6517702806785701,1,0.017951011657714844
0.2,2,-1.748924346385314,2,0.0
0.2,3,-1.6532162190461095,3,0.0
0.2,4,1.1350875637964362,4,0.0
0.2,5,-3.729890054501702,5,0.0
0.2,6,-3.0829437032032994,6,0.0
0.2,7,5.0090301458917965,7,0.0002951622009277344
0.2,8,2.2675234740311425,8,0.0
0.3,1,9.668924007728348,1,0.01792621612548828
0.3,2,13.099011283032516,2,0.0
0.3,3,18.321155710567346,3,0.0
0.3,4,4.099330133162048,4,0.0
0.3,5,-13.920811208414545,5,0.0
0.3,6,-10.292772638811385,6,0.0
0.3,7,7.051813817269084,7,0.0
0.3,8,-8.341795102228065,8,0.0
0.4,1,9.819533309432519,1,0.016950130462646484
0.4,2,1.9799311631527634,2,0.0
0.4,3,0.9788306109410938,3,0.0
0.4,4,4.744575529783938,4,0.0
0.4,5,-11.755497341675293,5,0.0009980201721191406
0.4,6,-14.406043866822795,6,0.0
0.4,7,2.0878923363610964,7,0.0
0.4,8,0.3570739471882316,8,0.0
0.5,1,13.704659258638129,1,0.018927335739135742
0.5,2,1.4363153386885474,2,0.0
0.5,3,-1.1009249329059978,3,0.0
0.5,4,2.155172611546435,4,0.0006182193756103516
0.5,5,4.537316483488557,5,0.0
0.5,6,8.473817350643861,6,0.0
0.5,7,7.335810678742007,7,0.0
0.5,8,2.868035535454614,8,0.0
0.6,1,-0.6421174696575478,1,0.0199127197265625
0.6,2,1.1582410443435993,2,0.0
0.6,3,-28.197690591615657,3,0.0
0.6,4,7.18027407628394,4,0.0009975433349609375
0.6,5,-1.7012559411320032,5,0.0
0.6,6,1.6207614745717644,6,0.0
0.6,7,-8.295307740911753,7,0.0
0.6,8,41.805338331354875,8,0.0
0.7,1,16.784111974740014,1,0.01992201805114746
0.7,2,15.731010103193945,2,0.0
0.7,3,-0.11747579297971811,3,0.0
0.7,4,5.784517362340138,4,0.0
0.7,5,-3.989999766597153,5,0.0009436607360839844
0.7,6,20.85708200351785,6,0.0
0.7,7,14.797980600238894,7,0.0
0.7,8,12.724220549232236,8,0.0
0.8,1,5.44146252411918,1,0.018949270248413086
0.8,2,-2.2949851813423656,2,0.0
0.8,3,22.633167216967603,3,0.0
0.8,4,21.472627352259607,4,0.0
0.8,5,-1.582004734054527,5,0.0
0.8,6,2.7411426508452994,6,0.0
0.8,7,27.212845288042296,7,0.0
0.8,8,3.582152012977194,8,0.0009963512420654297
0.9,1,10.685174077882301,1,0.033884525299072266
0.9,2,8.080497373258417,2,0.000997781753540039
0.9,3,-26.20433776965239,3,0.0
0.9,4,15.360373000938662,4,0.0
0.9,5,1.5048006478679872,5,0.000997781753540039
0.9,6,10.007732017502537,6,0.0
0.9,7,15.727808902882078,7,0.0
0.9,8,11.972373519373726,8,0.0
1.0,1,13.508719938626578,1,0.01795053482055664
1.0,2,12.06962198555252,2,0.0
1.0,3,11.73810551201138,3,0.0
1.0,4,16.255292384004264,4,0.0
1.0,5,15.765133741456776,5,0.00139617919921875
1.0,6,9.304423240771685,6,0.0
1.0,7,-0.03649173116670523,7,0.0
1.0,8,8.244645396291542,8,0.0009953975677490234
1.1,1,20.140962435041704,1,0.019945859909057617
1.1,2,6.063072867770962,2,0.0
1.1,3,33.08649928698728,3,0.0
1.1,4,9.059906205615082,4,0.0
1.1,5,-2.339201003943681,5,0.0009982585906982422
1.1,6,12.2132780344036,6,0.0
1.1,7,22.025492233088038,7,0.0
1.1,8,19.44674099673987,8,0.0009961128234863281
1.2,1,58.58529883269834,1,0.01992201805114746
1.2,2,-5.691734850245556,2,0.0
1.2,3,6.713461617417105,3,0.0
1.2,4,12.82820597565778,4,0.0
1.2,5,-10.754790523136439,5,0.0
1.2,6,-2.336562328458472,6,0.0
1.2,7,18.93170898910131,7,0.0
1.2,8,37.48236602451979,8,0.0
1.3,1,24.33773864906622,1,0.018972396850585938
1.3,2,20.188705052213756,2,0.0
1.3,3,-0.11690935457985319,3,0.0
1.3,4,12.040121991212747,4,0.0009675025939941406
1.3,5,-6.908683535357248,5,0.0
1.3,6,1.1405059921468528,6,0.0
1.3,7,9.082635464056718,7,0.0
1.3,8,24.480420432198084,8,0.0
1.4,1,12.592310039598889,1,0.018938302993774414
1.4,2,17.856179852675858,2,0.0
1.4,3,-1.3442940657123117,3,0.0
1.4,4,21.17082726909278,4,0.0
1.4,5,-5.499740858822559,5,0.0
1.4,6,20.305452780310763,6,0.0
1.4,7,20.01369436283614,7,0.0009856224060058594
1.4,8,7.009183351186284,8,0.0
1.5,1,13.998722518464426,1,0.019943952560424805
1.5,2,10.769966230488846,2,0.0
1.5,3,-16.79638303384802,3,0.0
1.5,4,17.75811727944154,4,0.0
1.5,5,-8.875974147329806,5,0.0
1.5,6,-3.146851229378452,6,0.0009915828704833984
1.5,7,28.833272262214482,7,0.0
1.5,8,16.63315893532823,8,0.0
1.6,1,31.00507819135303,1,0.016954660415649414
1.6,2,5.531840725518771,2,0.0
1.6,3,-12.020821714224574,3,0.0
1.6,4,20.09408352164829,4,0.0
1.6,5,-10.597270513986224,5,0.0
1.6,6,-13.165510103836144,6,0.0
1.6,7,21.931821676862604,7,0.0
