i,yhat,loop,loop_time
1,0.9196700423726675,1,0.031914472579956055
2,6.333120311307194,2,0.023936033248901367
3,1.5661318778202413,3,0.029920101165771484
4,2.4536648414137705,4,0.02293705940246582
5,2.1290795617001312,5,0.029919862747192383
6,2.153203058078809,6,0.025930166244506836
7,4.102615316911721,7,0.022938966751098633
8,0.9993056482636568,8,0.021941184997558594
9,0.7986517703123197,9,0.028923511505126953
10,4.740203903535185,10,0.027925491333007812
11,1.9017971759480259,11,0.03091716766357422
12,1.1818837275030045,12,0.04388236999511719
13,0.5358560951769121,13,0.026928186416625977
14,3.1773555251724694,14,0.027926206588745117
15,2.7575268459888664,15,0.031914472579956055
16,3.0964890683929105,16,0.027924776077270508
17,0.5231398307617807,17,0.03191423416137695
18,1.6685129484077503,18,0.02094411849975586
19,2.274598728238241,19,0.026927947998046875
20,2.081395007357258,20,0.019946575164794922
21,3.95106057741432,21,0.02792525291442871
22,16.371860603902753,22,0.029920578002929688
23,3.8849924093575936,23,0.01894855499267578
24,2.0151631141954423,24,0.022938966751098633
25,3.998413917478373,25,0.019947052001953125
26,3.2803090989076336,26,0.021940946578979492
27,2.3279200826434114,27,0.018949508666992188
28,3.497164875797972,28,0.018949031829833984
29,6.204485471347937,29,0.01795196533203125
30,4.252148340518046,30,0.018948793411254883
31,1.8013183152141294,31,0.018949508666992188
32,2.779631248050278,32,0.02593088150024414
33,3.1359880401367852,33,0.03291177749633789
34,2.9760483789327807,34,0.018949270248413086
35,4.5382981764204455,35,0.024933338165283203
36,2.3502455986898556,36,0.024933815002441406
37,4.940676680256023,37,0.027925491333007812
38,2.2857565110925147,38,0.030916929244995117
39,4.161021034711498,39,0.018950223922729492
40,1.2458416608053897,40,0.018949031829833984
41,4.395582936912688,41,0.02892303466796875
42,9.137677627332417,42,0.02692699432373047
43,2.5155045013539965,43,0.01994633674621582
44,3.3711076334712007,44,0.02892589569091797
45,13.83587937371074,45,0.0309145450592041
46,2.8133434745523136,46,0.018949508666992188
47,1.3789208355618552,47,0.02792525291442871
48,2.258301705173094,48,0.02094435691833496
49,18.869017950036763,49,0.02692699432373047
50,5.419536804656664,50,0.02293872833251953
51,0.8498603439642655,51,0.020943880081176758
52,0.8174433084463048,52,0.031914710998535156
53,1.3637081713398442,53,0.018949508666992188
54,1.6760540724471837,54,0.01894855499267578
55,2.5702925847240885,55,0.019947290420532227
56,0.817495211011479,56,0.019946575164794922
