i,yhat,loop,loop_time
1,3.081183124460532,1,0.2891974449157715
2,4.076627011512181,2,0.27725791931152344
3,3.1903644136857228,3,0.3011949062347412
4,2.344769815401287,4,0.2922184467315674
5,2.3902657240554652,5,0.34407997131347656
6,3.3627940017495828,6,0.25830936431884766
7,2.43150929089794,7,0.2922191619873047
8,2.227586265883026,8,0.27725863456726074
9,1.2190359769922092,9,0.33011722564697266
10,3.0799766052914896,10,0.2732696533203125
11,2.3437985679835234,11,0.28822946548461914
12,3.5340992690636184,12,0.27426743507385254
13,2.1391902644073344,13,0.3141598701477051
14,1.8844143051564601,14,0.2922184467315674
15,1.690192896880883,15,0.29620790481567383
16,2.0371055229618937,16,0.276261568069458
17,2.0052868367956953,17,0.3011958599090576
18,0.9897401347337046,18,0.3061800003051758
19,1.734120337401196,19,0.29920029640197754
20,1.2383873954257612,20,0.27426671981811523
21,1.070750600175324,21,0.2782566547393799
22,1.4287262294954566,22,0.30717921257019043
23,1.2129312052657109,23,0.27526330947875977
24,0.5808641381227202,24,0.28623533248901367
25,1.0428776401891655,25,0.26927947998046875
26,0.9468960484768454,26,0.2762610912322998
27,0.8108681401980677,27,0.2842395305633545
28,1.063255353335346,28,0.26928114891052246
29,1.2418904790825624,29,0.2952103614807129
30,0.5893747580954356,30,0.29919981956481934
31,1.0390787613671304,31,0.27526402473449707
32,1.758996283290931,32,0.2902238368988037
33,0.8340312666220795,33,0.28823041915893555
34,0.6934590504809109,34,0.28623509407043457
35,0.846805054679391,35,0.2652902603149414
36,0.5926707168842462,36,0.2822442054748535
37,0.7082515794264741,37,0.2782559394836426
38,0.23206104383900686,38,0.276261568069458
39,1.133130054540757,39,0.27725934982299805
40,0.19637127580013566,40,0.3111684322357178
41,0.46238398276517456,41,0.2672841548919678
42,1.0737852676726076,42,0.29620790481567383
43,1.4525114106412587,43,0.328122615814209
44,0.5072304991763723,44,0.2902243137359619
45,0.44114569806807186,45,0.28822946548461914
46,0.6527895792617421,46,0.3061811923980713
47,0.4522444120914294,47,0.2702772617340088
48,0.554277543372947,48,0.29920053482055664
49,0.3826476111139975,49,0.3141603469848633
50,0.49031352647378373,50,0.28922533988952637
51,0.6456131903982901,51,0.3001980781555176
52,0.6565098936474563,52,0.28822898864746094
53,0.5081832133073471,53,0.28822946548461914
54,0.540122147868879,54,0.2573113441467285
55,0.6349069464543887,55,0.30817675590515137
56,0.5814176986651106,56,0.2712738513946533
